Date,Narration,Debit,Credit
01/05/2026,SALARY CREDIT ACME TECH PVT LTD,,68000.00
02/05/2026,UPI-SWIGGY-OKAXIS-XXXX1234,420.00,
03/05/2026,NACH-LIC PREMIUM-AUTODEBIT,2150.00,
04/05/2026,POS-4521-RELIANCE FRESH,1840.00,
05/05/2026,RENT TRANSFER LANDLORD NEFT,18000.00,
06/05/2026,UPI-ZOMATO-OKICICI-XXXX5678,560.00,
07/05/2026,NETFLIX SUBSCRIPTION,649.00,
08/05/2026,UPI-UBER INDIA-OKHDFC,310.00,
09/05/2026,AMAZON PAY INDIA ORDER,2499.00,
10/05/2026,BIGBASKET ONLINE GROCERY,3120.00,
11/05/2026,EMI HDB FINANCIAL CARLOAN,9500.00,
12/05/2026,UPI-SPOTIFY INDIA,119.00,
13/05/2026,POS-3387-DMART,2240.00,
14/05/2026,AIRTEL POSTPAID RECHARGE BBPS,799.00,
15/05/2026,UPI-SWIGGY-OKAXIS-XXXX9988,388.00,
16/05/2026,FLIPKART INTERNET ORDER,1799.00,
17/05/2026,IRCTC RAIL TICKET,1245.00,
18/05/2026,UPI-OLA CABS-OKSBI,265.00,
19/05/2026,APOLLO PHARMACY MEDPLUS,640.00,
20/05/2026,SIP ZERODHA COIN MUTUAL FUND,5000.00,
21/05/2026,UPI-ZOMATO-OKICICI,720.00,
22/05/2026,BOOKMYSHOW PVR CINEMA,900.00,
23/05/2026,HPCL FUEL PETROL,2000.00,
24/05/2026,INTEREST CREDIT SAVINGS,,310.00
25/05/2026,UPI-AMAZON-OKAXIS PRIME,1499.00,
26/05/2026,TNEB ELECTRICITY BILL,1430.00,
27/05/2026,UPI-SWIGGY INSTAMART,540.00,
28/05/2026,MYNTRA DESIGNS ORDER,2350.00,
29/05/2026,UPI TRANSFER TO FRIEND IMPS,1500.00,
30/05/2026,DOMINOS PIZZA UPI,680.00,
